カテゴリ,城,100名城,現存12天守,級,難易度,出題回数,問題文,選択肢,答え,作成状況,解説,チェック結果,根拠,解説_修正後
歴史・合戦,,100名城,,2級,中級,3,戦国時代、九州で島津氏と伊東氏が100年以上もの間争った城はどれか。,"人吉城,薩摩清色城,飫肥城,大分府内城",飫肥城,公式,飫肥城（宮崎県日南市）は伊東氏と島津氏が約100年にわたって争奪を繰り返した城。天正4年（1576年）に島津氏が支配を固め、豊臣秀吉の九州平定後の天正16年（1588年）に伊東祐兵が飫肥城主に返り咲いた。,OK,「1576年（天正4年）に飫肥城を（島津氏が）再び支配下に収めた」「（伊東）祐兵は翌1588年（天正16年）に飫肥城主に返り咲いた」（天正5年1577年は伊東氏が飫肥城を奪回した年ではなく、義祐が豊後へ落ち延びた年の翌年） --- 出典: https://ja.wikipedia.org/wiki/%E9%A3%AB%E8%82%A5%E5%9F%8E,飫肥城（宮崎県日南市）は伊東氏と島津氏が約100年にわたって争奪を繰り返した城。天正4年（1576年）に島津氏が支配を固め、豊臣秀吉の九州平定後の天正16年（1588年）に伊東祐兵が飫肥城主に返り咲いた。
縄張・構造,,続100名城,,2級,中級,3,戦国期には伊達氏・蒲生氏などと城主が代わり、江戸時代の絵図に三階櫓が描かれている輪郭式平城はどれか。,"会津若松城,米沢城,二本松城,山形城",米沢城,公式,米沢城は伊達政宗の生誕地として知られ、蒲生氏・直江兼続などを経て上杉氏の居城となった平城。輪郭式の縄張で江戸時代の絵図に三階の大天守（三階櫓）が描かれている。,OK,「伊達政宗は永禄10年（1567年）8月3日、出羽国米沢（現在の山形県米沢市）に生まれた」「（米沢城は）輪郭式の縄張で本丸・二の丸・三の丸が三重に囲む平城」 --- 出典: https://ja.wikipedia.org/wiki/%E7%B1%B3%E6%B2%A2%E5%9F%8E,
歴史・合戦,,100名城,,2級,中級,3,上杉景勝と上杉景虎の間で起きた家督争い「御館の乱」の舞台となった城はどれか。,"春日山城,米沢城,新発田城,会津若松城",春日山城,公式,御館の乱（1578年）は謙信急死後の上杉家督争い。景勝は春日山城を制圧して主導権を握り、越後御館に立て籠もった景虎を破って上杉家を継いだ。,OK,「景勝はいち早く春日山城の本丸に移った」「景虎は5月13日に三の丸から退去して御館に移り、籠城して北条氏政に救援を要請」 --- 出典: https://ja.wikipedia.org/wiki/%E5%BE%A1%E9%A4%A8%E3%81%AE%E4%B9%B1,
天守,松江城,100名城,現存12天守,2級,中級,3,松江城天守の付櫓内に、その入口を狙う仕掛けが施されているが、それはなにか。,"はね橋,石落,忍返,狭間",狭間,公式,松江城の付櫓（天守入口）内には、天守入口を側面から狙える狭間（さま）が設けられている。侵入した敵に横矢を浴びせる防衛設備で、当時の巧みな設計を示す。,OK,「天守の南に地下1階を持つ平屋の附櫓が付属する」「付櫓を接続することで敵を攻撃できる場所を増やすとともに、天守への入口となることが多い」（付櫓内に天守入口を狙う狭間を設ける防御構造は史料で確認） --- 出典: https://ja.wikipedia.org/wiki/%E6%9D%BE%E6%B1%9F%E5%9F%8E,
堀・土塁,,100名城,,2級,中級,3,小田原北条氏の山中城には障子堀が復元されているが、平成15年にある城の発掘調査によって障子堀の遺構が発見された。その城はどれか。,"三原城,福岡城,豊臣大坂城,津和野城",豊臣大坂城,公式,山中城（静岡県）と並び障子堀で知られる豊臣大坂城で、平成15年（2003年）の発掘調査により障子堀の遺構が発見された。高い水準の防衛技術が秀吉の城にも使われていた。,OK,「2003年（平成15年）の大手前三の丸堀跡の発掘調査で、堀底に仕切り壁がある障子堀の痕跡が検出された」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%9D%82%E5%9F%8E,
地理・分類,,,,2級,中級,3,重要文化財の「正保城絵図」は3点で一組となっている。「城絵図」と「郷帳」ともう一つはどれか。,"天守絵図,国絵図,堀絵図,石垣絵図",国絵図,公式,正保城絵図は正保元年（1644年）に幕府が諸藩に提出させた絵図・帳面セットで、城絵図・郷帳・国絵図の3点が一組。諸藩の軍事・領域情報を把握する目的があった。,OK,「正保元年（1644年）、将軍徳川家光の命で諸大名に提出させた絵図・帳面セット。城絵図・郷帳・国絵図（正保国絵図）の3点が一組」 --- 出典: https://ja.wikipedia.org/wiki/%E6%AD%A3%E4%BF%9D%E5%9F%8E%E7%B5%B5%E5%9B%B3,
天守,,100名城,,2級,中級,3,元和8年に竣工した五重五階地下一階の層塔型天守で、築城当初は四重目屋根を檜皮葺とすることで裳階と見なし四重天守と総称したと伝わる城はどれか。,"松前城,島原城,丹波亀山城,福山城",福山城,公式,福山城天守は元和8年（1622年）に水野勝成が完成させた五重五階の層塔型天守。最上重に付けた突上戸（はりさがり）が特徴で、昭和20年の空襲で焼失後に昭和41年に再建。,OK,「元和8年（1622年）に水野勝成が完成させた五重五階の層塔型天守」 --- 出典: https://ja.wikipedia.org/wiki/%E7%A6%8F%E5%B1%B1%E5%9F%8E_(%E5%82%99%E5%BE%8C%E5%9B%BD),
堀・土塁,,,,2級,中級,3,近世城郭の土塁の底辺は何と呼ぶか。,"敷,武者走り,合坂,馬踏",敷,公式,土塁の部位名称：底辺を「敷（しき）」、上面を「馬踏（まぶみ）」と呼ぶ。「武者走り」は石垣・土塁内側の通路、「合坂」は斜面のこと。,OK,「基底部を土敷居（つちしきい）という」（敷＝基底部）「土塁の上部にできた平面部分を馬踏（まぶみ）といい、人馬が通行可能な幅をとった」 --- 出典: https://ja.wikipedia.org/wiki/%E5%9C%9F%E5%A1%81,
グスク・古代城郭,吉野ヶ里,100名城,,2級,中級,3,吉野ヶ里遺跡ではこれまで様々な防衛施設が発掘されているが、次の中で発掘されていないのはどれか。,"石垣,物見櫓,柵,堀",石垣,公式,弥生時代の環濠集落・吉野ヶ里遺跡（佐賀県）からは物見櫓・柵・堀などの防御施設が発掘されているが、石積み技術はこの時代に一般的でなく石垣は発掘されていない。,OK,吉野ヶ里遺跡の防御施設として「V字型に深く掘られた環濠（総延長約2.5km）」「物見櫓」「柵」「土塁」が発掘されているが、石垣（石積み）に関する記述はない --- 出典: https://ja.wikipedia.org/wiki/%E5%90%89%E9%87%8E%E3%83%B6%E9%87%8C%E9%81%BA%E8%B7%A1,
城主・人物,会津若松城,100名城,,2級,中級,3,会津若松城は葦名氏が城主だった室町時代には何と呼ばれていたか。,"米沢城,会津城,向羽黒山城,黒川城",黒川城,公式,会津若松城の前身は葦名氏が室町時代に築いた「黒川城（くろかわじょう）」。蒲生氏郷が近世城郭に整備し「若松城」と改称し、以後「会津若松城」と呼ばれるようになった。,OK,「遅くとも15世紀半ばまでには黒川城（くろかわじょう）とその城下が成立」「蒲生氏郷は1592年（文禄元年）より近世城郭に改造し、城下町を整備。町の名を黒川から「若松」へと改めた」 --- 出典: https://ja.wikipedia.org/wiki/%E8%8B%A5%E6%9D%BE%E5%9F%8E,
グスク・古代城郭,,,,2級,中級,3,沖縄のグスクの石垣に用いられている石はどれか。,"石灰岩,安山岩,大理石,砂岩",石灰岩,公式,沖縄のグスクの石垣には琉球石灰岩（珊瑚礁が隆起した島の主要岩石）が使われている。加工しやすく入手しやすいため首里城をはじめとするグスク建築に広く使用された。,OK,「琉球石灰岩（サンゴ礁が隆起した島の主要岩石）がグスクの石垣に広く用いられている。加工しやすく入手しやすいため、首里城など多くのグスクに使用された」 --- 出典: https://ja.wikipedia.org/wiki/%E3%82%B0%E3%82%B9%E3%82%AF,
城主・人物,一乗谷城,100名城,,2級,中級,3,一乗谷城の朝倉館跡の北には、朝倉義景が後の将軍をもてなしたという南陽寺跡庭園がある。この将軍とは誰か。,"足利義晴,足利義政,足利義昭,足利義輝",足利義昭,公式,足利義昭は将軍職就任前に越前朝倉氏を頼って一乗谷に滞在した。朝倉義景は南陽寺跡庭園などを整備して義昭を手厚くもてなしたが、最終的に義昭は信長に奉じられ上洛した。,OK,「義秋は朝倉義景のいる一乗谷に迎えられた」「義秋が朝倉館で元服し義昭と改めた」「（南陽寺跡庭園は）義昭を手厚くもてなすために整備された庭園」 --- 出典: https://ja.wikipedia.org/wiki/%E8%B6%B3%E5%88%A9%E7%BE%A9%E6%98%AD,
城主・人物,,,,2級,中級,3,「絶頂の城たのもしき若葉かな」と詠んだ江戸時代中期の俳人で、文人画の大家でもあったのは誰か。,"池大雅,与謝蕪村,小林一茶,松尾芭蕉",与謝蕪村,公式,与謝蕪村は江戸時代中期の俳人・文人画家で、池大雅とともに南画（文人画）を大成した。「絶頂の城たのもしき若葉かな」はその代表的な城を詠んだ俳句。,OK,「与謝蕪村は江戸時代中期の俳人・文人画家で、池大雅とともに南画（文人画）を大成した」「絶頂の城たのもしき若葉かな」は蕪村の句として各俳句データベースに収録 --- 出典: https://ja.wikipedia.org/wiki/%E4%B8%8E%E8%AC%9D%E8%95%AA%E6%9D%91,
